NumberFrom,NumberTo,OwnerId,RegionCode,MNC,RowCount
9026290000,9026299999,mTELE2,81,20,
9026300000,9026499999,mTELE2,27,20,
9026500000,9026599999,mTELE2,37,39,
9026600000,9026639999,mMEGAFON,21,02,
9026640000,9026649999,mTELE2,12,20,
9026650000,9026659999,mMEGAFON,21,02,
9026660000,9026699999,mTELE2,13,20,
9026700000,9026729999,mTELE2,12,20,
9026730000,9026799999,mTELE2,57,20,
9026800000,9026899999,mTELE2,54,20,
9026900000,9026929999,mTELE2,81,20,
9026930000,9026939999,mTELE2,83,20,
9026940000,9026949999,mTELE2,81,20,
9026950000,9026999999,mTELE2,72,20,
9027000000,9027099999,mTELE2,32,20,
9027100000,9027109999,mBEELINE,65,99,
9027110000,9027119519,mSMARTSK,16,27,
9027119520,9027119529,mMIATEL,78,16,
9027119530,9027119999,mSMARTSK,16,27,
9027120000,9027129999,mMTS,03,01,
9027130000,9027139999,mMTS,12,01,
9027140000,9027149999,mMEGAFON,13,02,
9027150000,9027159999,mSMARTSK,16,27,
9027160000,9027169999,mMEGAFON,13,02,
9027170000,9027179999,mBEELINE,65,99,
9027180000,9027199999,mSMARTSK,16,27,
9027200000,9027349999,mTELE2,69,20,
9027350000,9027399999,mTELE2,12,20,
9027400000,9027429999,mTELE2,64,20,
9027430000,9027459999,mTELE2,12,20,
9027460000,9027479999,mMTS,40,01,
9027480000,9027499999,mMEGAFON,64,02,
9027500000,9027549999,mTELE2,72,20,
9027550000,9027599999,mTELE2,44,20,
9027600000,9027699999,mTELE2,41,20,
9027700000,9027799999,mSPITERBURG,10,20,
9027800000,9027899999,mTELE2,54,20,
9027900000,9028099999,mTELE2,27,20,
9028100000,9028119999,mTELE2,66,20,
9028120000,9028139999,mTELE2,73,20,
9028140000,9028149999,mTELE2,81,20,
9028150000,9028159999,mTELE2,73,20,
9028160000,9028169999,mTELE2,83,20,
9028170000,9028179999,mTELE2,81,20,
9028180000,9028189999,mTELE2,73,20,
9028190000,9028199999,mTELE2,81,20,
